BGC,KG,Tave,PPT
ESSFwm 1,Dfc,"[-9.85, -6.86, -4.21, 0.45, 5.0, 9.26, 12.59, 12.49, 7.53, 2.12, -5.09, -9.19]","[111.66, 79.15, 71.2, 64.39, 83.14, 93.3, 69.45, 60.39, 68.02, 77.07, 108.13, 113.76]"
ESSFwm 2,Dfc,"[-9.04, -6.36, -3.91, 0.1, 4.6, 8.84, 12.09, 12.11, 7.42, 1.37, -5.42, -8.95]","[140.47, 92.88, 91.83, 77.85, 69.79, 83.78, 57.82, 70.94, 66.84, 99.82, 148.54, 161.85]"
ESSFwm 3,Dfc,"[-8.62, -6.29, -4.14, 0.25, 4.69, 8.51, 12.11, 12.23, 7.74, 1.71, -5.03, -8.16]","[202.38, 140.22, 153.62, 110.71, 111.28, 111.12, 71.89, 83.07, 77.63, 141.82, 220.36, 231.19]"
ESSFwm 4,Dfc,"[-8.74, -6.06, -3.64, 0.74, 5.14, 9.24, 12.82, 12.91, 8.11, 2.03, -4.64, -8.41]","[122.05, 82.85, 82.98, 70.03, 80.83, 89.19, 48.83, 55.26, 58.31, 75.11, 129.98, 134.17]"
ESSFwmp,ET,"[-10.12, -8.3, -6.42, -2.51, 1.87, 6.02, 9.45, 9.49, 4.87, -0.74, -7.14, -10.0]","[153.1, 103.14, 104.68, 90.45, 77.31, 92.04, 64.59, 75.77, 70.66, 112.5, 164.65, 176.78]"
ESSFwmw,Dfc,"[-9.65, -7.41, -5.42, -1.17, 3.32, 7.46, 11.01, 10.92, 6.24, 0.42, -6.24, -9.45]","[146.41, 98.43, 100.44, 82.67, 81.21, 91.73, 61.98, 69.78, 67.54, 102.89, 155.54, 165.08]"
ESSFwv,Dfc,"[-10.25, -7.27, -4.59, 0.14, 4.78, 8.5, 10.71, 10.39, 6.37, 1.12, -5.65, -9.56]","[104.3, 65.08, 55.28, 51.32, 61.73, 62.41, 79.81, 76.84, 86.87, 113.76, 92.96, 98.98]"
ESSFwvp,ET,"[-10.57, -8.14, -6.2, -1.61, 3.14, 6.84, 9.03, 8.91, 5.01, -0.27, -6.76, -10.01]","[119.32, 76.71, 66.96, 60.08, 66.73, 64.96, 88.39, 88.71, 99.45, 128.54, 107.79, 113.86]"
ESSFxc 1,Dfc,"[-7.34, -5.56, -3.71, -0.33, 3.9, 7.78, 11.04, 11.23, 7.5, 2.03, -4.13, -7.35]","[76.49, 57.98, 57.76, 55.69, 52.02, 56.4, 40.63, 47.94, 34.83, 48.39, 82.66, 93.4]"
ESSFxc 2,Dfc,"[-8.66, -6.26, -3.79, 0.19, 4.7, 8.52, 11.22, 11.4, 7.34, 1.95, -4.84, -8.42]","[80.78, 56.72, 50.54, 58.9, 62.74, 65.82, 63.02, 63.19, 59.69, 60.52, 78.38, 95.38]"
